 Board : D:\pro.166\hm2.prime_h610m2-tf.100.230613948\hm2.prime_h610m2-tf.100.230613948-tr.brd
 Unit  : mil & mm
 Date  : Tue Jun 20 13:41:56 2023

---------------------------------------------------------------------------------------------------
                     TOP  LAYER  COMPONENT  CENTER  REPORT
---------------------------------------------------------------------------------------------------
         |                        |                  |        MIL        |        MM         |   | 
         |                        |                  |-------------------|-------------------|   | 
 refdes  |      device type       |     package      |    x    |    y    |    x    |    y    |ang|m
---------------------------------------------------------------------------------------------------
AU1       ALC897_VA1_CG_S_QFP_48P_20_354X/ALC897-VA1-CG S_QFP_48P_20_354X354_H63    505.00    810.00    12.827    20.574 180 N
AU1C1     C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402             610.00   1075.00    15.494    27.305 90  N
AU1C3     C_MBS_C0603_1UF/16V/1UF/16V MBS_C0603             560.00   1075.00    14.224    27.305 90  N
AU1C9     C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402             440.00   1070.00    11.176    27.178 90  N
AU1C18    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402             215.00    810.00     5.461    20.574 180 N
AU1C20    C_MBS_C0603_4.7UF/6.3V/4.7UF/6.3V MBS_C0603             215.00    765.00     5.461    19.431 180 N
AU1C25    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402             390.00    550.00     9.906    13.970 90  N
AU1C27    C_MBS_C0603_DISCRETE_2.2UF/10V/2.2UF/10V MBS_C0603             445.00    440.00    11.303    11.176 270 N
AU1C29    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402             520.00    550.00    13.208    13.970 90  N
AU1C201   C_MBS_C0603_DISCRETE_1UF/10V/1UF/10V MBS_C0603             655.00   1075.00    16.637    27.305 90  N
AU1C209   C_MBS_C0603_DISCRETE_1UF/10V/1UF/10V MBS_C0603             497.00   1072.00    12.624    27.229 90  N
AU1C218   C_MBS_C0603_4.7UF/6.3V/4.7UF/6.3V MBS_C0603             215.00    855.00     5.461    21.717 180 N
AU1C225   C_MBS_C0603_4.7UF/6.3V/4.7UF/6.3V MBS_C0603             348.00    440.00     8.839    11.176 270 N
AU1C227   C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402             445.00    550.00    11.303    13.970 90  N
AU1C229   C_MBS_C0603_10UF/6.3V/10UF/6.3V MBS_C0603             520.00    440.00    13.208    11.176 270 N
AU1C429   C_MBS_C0805_47UF/6.3V/47UF/6.3V MBS_C0805             579.00    440.00    14.707    11.176 90  N
AUDIO     AUDIO_JACK_13P_5HOLD_3IN1_MBS_A/AUDIO_JACK_13P_5HOLD MBS_AUDIO_JACK_13P_5HD_LF3    132.17   3700.19     3.357    93.985 270 N
BATTERY   BATT_HOLDER_S_BATHOLDER_2P_787_/BATT_HOLDER S_BATHOLDER_2P_787_LOT_LF3   1390.00   6605.00    35.306   167.767 270 N
BC6       C_MBS_C0402_DISCRETE_0.1UF/16V/0.1UF/16V MBS_C0402            3210.00   9246.00    81.534   234.848 270 N
BC31      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            1365.00    240.00    34.671     6.096 180 N
BC32      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            1365.00    310.00    34.671     7.874 180 N
BC33      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            1365.00    415.00    34.671    10.541 180 N
BC34      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            1365.00    380.00    34.671     9.652 180 N
BC35      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            1365.00    170.00    34.671     4.318 180 N
BC36      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            1365.00    345.00    34.671     8.763 180 N
BC37      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            1365.00    275.00    34.671     6.985 180 N
BC38      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            1365.00    205.00    34.671     5.207 180 N
BC41      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             770.00   6150.00    19.558   156.210 0   N
BC42      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             770.00   6080.00    19.558   154.432 0   N
BC43      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             770.00   5965.00    19.558   151.511 0   N
BC44      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             770.00   6010.00    19.558   152.654 0   N
BC45      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             770.00   6220.00    19.558   157.988 0   N
BC46      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             770.00   6045.00    19.558   153.543 0   N
BC47      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             770.00   6115.00    19.558   155.321 0   N
BC48      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             770.00   6185.00    19.558   157.099 0   N
BC51      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            2842.00    365.00    72.187     9.271 90  N
BC52      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            2895.00    365.00    73.533     9.271 90  N
BC53      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            2930.00    365.00    74.422     9.271 90  N
BC54      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            2965.00    365.00    75.311     9.271 90  N
BC55      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            2708.00    365.00    68.783     9.271 90  N
BC56      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            2778.00    365.00    70.561     9.271 90  N
BC57      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            3495.00    365.00    88.773     9.271 90  N
BC58      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            2673.00    365.00    67.894     9.271 90  N
BC59      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            2743.00    365.00    69.672     9.271 90  N
BC60      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            2265.00    240.00    57.531     6.096 180 N
BC61      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            2265.00    205.00    57.531     5.207 0   N
BC62      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            2265.00    275.00    57.531     6.985 180 N
BC63      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            2265.00    170.00    57.531     4.318 180 N
BC64      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            3460.00    365.00    87.884     9.271 90  N
BC65      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            3390.00    365.00    86.106     9.271 90  N
BC66      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            3425.00    365.00    86.995     9.271 90  N
BC67      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402            3355.00    365.00    85.217     9.271 90  N
BD1       DUAL_DIODE_3CATHODE_MBS_SOT323_/BAT54CW MBS_SOT323           3578.00    388.73    90.881     9.874 270 N
BD14      DUAL_DIODE_3CATHODE_MBS_SOT323_/BAT54CW MBS_SOT323           2290.00   1955.00    58.166    49.657 270 N
BQ14      NPN_SOT23_MBS_SOT23_PMBS3904/PMBS3904 MBS_SOT23            2290.00   2105.00    58.166    53.467 270 N
BQ14C1    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            2180.00   2095.00    55.372    53.213 0   N
BR54      R_MBS_R0402_33OHM/33Ohm  MBS_R0402            3455.00    480.00    87.757    12.192 0   N
BR55      R_MBS_R0603_8.2KOHM/8.2KOhm MBS_R0603            3545.00    480.00    90.043    12.192 0   N
BR100     R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402            2180.00   1990.00    55.372    50.546 180 N
BR101     R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402            2180.00   2025.00    55.372    51.435 180 N
BR102     R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402            2180.00   2135.00    55.372    54.229 180 N
BR103     R_MBS_R0402_8.2KOHM/8.2KOhm MBS_R0402            2180.00   2060.00    55.372    52.324 180 N
BRN6      4R8PS_MBS_4R8P0603_33OHM/33OHM MBS_4R8P0603         3225.00    485.00    81.915    12.319 180 N
BRN7      4R8PS_MBS_4R8P0603_33OHM/33OHM MBS_4R8P0603         2255.00    365.00    57.277     9.271 180 N
BRN8      4R8PS_MBS_4R8P0603_33OHM/33OHM MBS_4R8P0603         2405.00    365.00    61.087     9.271 180 N
BRN9      4R8PS_MBS_4R8P0603_33OHM/33OHM MBS_4R8P0603         3065.00    365.00    77.851     9.271 180 N
BRP1      8R10PS_MBS_8R10P0603_8.2KOHM/8.2KOHM MBS_8R10P0603        3225.00    365.00    81.915     9.271 180 N
BRP2      8R10PS_MBS_8R10P0603_8.2KOHM/8.2KOHM MBS_8R10P0603        2570.00    365.00    65.278     9.271 0   N
BU3       GD75232DWR_MBS_TSSOP_20P_26_256/GD75232PWR MBS_TSSOP_20P_26_256X252    975.00   6080.00    24.765   154.432 270 N
BU4       GD75232DWR_MBS_TSSOP_20P_26_256/GD75232PWR MBS_TSSOP_20P_26_256X252   1210.00    746.00    30.734    18.948 0   N
BU3C1     C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402             770.00   6260.00    19.558   159.004 180 N
BU3C10    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402             830.00   5930.00    21.082   150.622 180 N
BU3C20    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402             950.00   6305.00    24.130   160.147 0   N
BU4C1     C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            1035.00    620.00    26.289    15.748 270 N
BU4C10    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            1328.00    559.00    33.731    14.199 180 N
BU4C20    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            1030.00    895.00    26.162    22.733 180 N
CFR55     R_MBS_R0603_2.7KOHM/2.7KOhm MBS_R0603            5610.00   9285.00   142.494   235.839 270 N
CFR71     R_MBS_R0603_2.7KOHM/2.7KOhm MBS_R0603            6105.00   9285.00   155.067   235.839 270 N
CHASSIS   HEADER_1X4P_K2_MBS_HD_1X4P_100_/HEADER_1X4P_K2 MBS_HD_1X4P_100_K2_LF3   9310.00    505.00   236.474    12.827 0   N
CHA_FAN   WAFER_HD_4P_HOD_FOX_MBS_WF_HD_4/WAFER_HD_4P MBS_WF_HD_4P_100_HD_LF3   6005.00   9460.00   152.527   240.284 0   N
CLRTC     HEADER_1X2P_MBS_HD_1X2P_100_LF3/HEADER_1X2P MBS_HD_1X2P_100_LF3   3860.00    145.00    98.044     3.683 0   N
COM1      D_SUB_9P_COM_S_D_SUB_9P_2HOD_M_/D_SUB_9P S_D_SUB_9P_2HOD_M_RA_LF3    589.26   6035.83    14.967   153.310 270 N
COM2      HEADER_2X5P_K10_MBS_HD_2X5P_100/HEADER_2X5P_K10 MBS_HD_2X5P_100_K10_COM_LF3   1770.00    190.00    44.958     4.826 0   N
COM_DEBUG HEADER_2X3P_K3_MBS_HD_2X3P_100_/HEADER_2x3P_K3 MBS_HD_2X3P_100_K3_LF3   2620.00   1230.00    66.548    31.242 0   N
CPU_FAN   WAFER_HD_4P_HOLD_003_MBS_WAFER_/WAFER_HD_4P MBS_WAFER_HD_1X4P_HLD_LF3   5575.00   9460.00   141.605   240.284 0   N
D3C49     C_MBS_C0402_0.022UF/16V/0.022UF/16V MBS_C0402            6813.00   8880.00   173.050   225.552 270 N
D3C50     C_MBS_C0402_0.022UF/16V/0.022UF/16V MBS_C0402            7543.00   8955.00   191.592   227.457 90  N
D3C51     C_MBS_C0402_0.022UF/16V/0.022UF/16V MBS_C0402            8250.00   9005.00   209.550   228.727 90  N
D3C52     C_MBS_C0402_0.022UF/16V/0.022UF/16V MBS_C0402            7893.00   8960.00   200.482   227.584 90  N
D3C119    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            7190.00   7485.00   182.626   190.119 90  N
D3C122    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            8285.00   8585.00   210.439   218.059 90  N
D3C128    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            8250.00   8585.00   209.550   218.059 90  N
D3C131    C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            6825.00   8581.00   173.355   217.957 90  N
D3F502    POLY_FUSE_MBS_POLYSWITCH_2P_080/1.75A/6V MBS_POLYSWITCH_2P_0805_H31   6415.00   3955.00   162.941   100.457 180 N
D3R114    R_MBS_R0402_DISCRETE_2OHM/2Ohm MBS_R0402            6848.00   8880.00   173.939   225.552 270 N
D3R115    R_MBS_R0402_24.9OHM/24.9Ohm MBS_R0402            6813.00   8810.00   173.050   223.774 90  N
D3R116    R_MBS_R0402_DISCRETE_2OHM/2Ohm MBS_R0402            7543.00   8885.00   191.592   225.679 270 N
D3R117    R_MBS_R0402_24.9OHM/24.9Ohm MBS_R0402            7578.00   8955.00   192.481   227.457 90  N
D3R118    R_MBS_R0402_0OHM/0Ohm    MBS_R0402            7165.00   8805.00   181.991   223.647 270 N
D3R119    R_MBS_R0402_DISCRETE_2KOHM/2KOhm MBS_R0402            7200.00   8880.00   182.880   225.552 90  N
D3R120    R_MBS_R0402_DISCRETE_2KOHM/2KOhm MBS_R0402            7165.00   8880.00   181.991   225.552 270 N
D3R121    R_MBS_R0402_0OHM/0Ohm    MBS_R0402            7543.00   8815.00   191.592   223.901 270 N
D3R122    R_MBS_R0402_DISCRETE_2KOHM/2KOhm MBS_R0402            7578.00   8815.00   192.481   223.901 270 N
D3R123    R_MBS_R0402_DISCRETE_2KOHM/2KOhm MBS_R0402            7578.00   8885.00   192.481   225.679 270 N
D3R124    R_MBS_R0402_0OHM/0Ohm    MBS_R0402            7200.00   8805.00   182.880   223.647 90  N
D3R125    R_MBS_R0402_DISCRETE_2OHM/2Ohm MBS_R0402            8250.00   8935.00   209.550   226.949 270 N
D3R126    R_MBS_R0402_24.9OHM/24.9Ohm MBS_R0402            8285.00   9005.00   210.439   228.727 90  N
D3R127    R_MBS_R0402_0OHM/0Ohm    MBS_R0402            7928.00   8820.00   201.371   224.028 270 N
D3R128    R_MBS_R0402_DISCRETE_2KOHM/2KOhm MBS_R0402            7928.00   8890.00   201.371   225.806 90  N
D3R129    R_MBS_R0402_DISCRETE_2KOHM/2KOhm MBS_R0402            7893.00   8820.00   200.482   224.028 90  N
D3R130    R_MBS_R0402_0OHM/0Ohm    MBS_R0402            8285.00   8865.00   210.439   225.171 270 N
D3R131    R_MBS_R0402_DISCRETE_2KOHM/2KOhm MBS_R0402            8285.00   8935.00   210.439   226.949 90  N
D3R132    R_MBS_R0402_DISCRETE_2KOHM/2KOhm MBS_R0402            8250.00   8865.00   209.550   225.171 90  N
D3R133    R_MBS_R0402_0OHM/0Ohm    MBS_R0402            8285.00   8795.00   210.439   223.393 90  N
D3R134    R_MBS_R0402_DISCRETE_2OHM/2Ohm MBS_R0402            7893.00   8890.00   200.482   225.806 270 N
D3R135    R_MBS_R0402_24.9OHM/24.9Ohm MBS_R0402            7928.00   8960.00   201.371   227.584 90  N
D4C5      C_MBS_C0402_DISCRETE_330PF/50V/330PF/50V MBS_C0402            8105.00   3440.00   205.867    87.376 180 N
D4C6      C_MBS_C0402_DISCRETE_330PF/50V/330PF/50V MBS_C0402            8105.00   3480.00   205.867    88.392 180 N
D4C7      C_MBS_C0402_DISCRETE_0.1UF/10V/0.1UF/10V MBS_C0402            7190.00   6875.00   182.626   174.625 90  N
D4C9      C_MBS_C0402_DISCRETE_330PF/50V/330PF/50V MBS_C0402            7560.50   3870.00   192.037    98.298 0   N
D4C10     C_MBS_C0402_DISCRETE_330PF/50V/330PF/50V MBS_C0402            6830.50   3913.00   173.495    99.390 180 N
D4C11     C_MBS_C0402_DISCRETE_0.1UF/10V/0.1UF/10V MBS_C0402            8260.00   6875.00   209.804   174.625 270 N
D4C13     C_MBS_C0402_DISCRETE_0.1UF/16V/0.1UF/16V MBS_C0402            6848.00   3985.00   173.939   101.219 90  N
D4C14     C_MBS_C0402_DISCRETE_0.1UF/16V/0.1UF/16V MBS_C0402            6813.00   3985.00   173.050   101.219 90  N
D4C15     C_MBS_C0603_4.7UF/6.3V/4.7UF/6.3V MBS_C0603            6830.00   6150.00   173.482   156.210 270 N
D4C16     C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402      8300.00   6150.00   210.820   156.210 270 N
D4C17     C_MBS_C0603_4.7UF/6.3V/4.7UF/6.3V MBS_C0603            7910.00   6150.00   200.914   156.210 270 N
D4C18     C_MBS_C0201_P0402__100NF/16V/100NF/16V MBS_C0201_P0402      8290.00   6260.00   210.566   159.004 90  N
